customer_id,first_name,last_name,company,address,city,state,country,postal_code,phone,fax,email,support_rep_id
14,Mark,Philips,Telus,"Av. Brigadeiro Faria Lima, 2183",Edmonton,AB,Canada,T6G 2C7,+1 (780) 434-4554,+1 (780) 434-5565,mphilips12@shaw.ca,5
15,Jennifer,Peterson,Rogers Canada,"Av. Brigadeiro Faria Lima, 2184",Vancouver,BC,Canada,V6C 1G8,+1 (604) 688-2255,+1 (604) 688-8756,jenniferp@rogers.ca,3
16,Frank,Harris,Google Inc.,"Av. Brigadeiro Faria Lima, 2185",Mountain View,CA,USA,94043-1351,+1 (650) 253-0000,+1 (650) 253-0000,fharris@google.com,4
17,Jack,Smith,Microsoft Corporation,"Av. Brigadeiro Faria Lima, 2186",Redmond,WA,USA,98052-8300,+1 (425) 882-8080,+1 (425) 882-8081,jacksmith@microsoft.com,5
18,Michelle,Brooks,,"Av. Brigadeiro Faria Lima, 2187",New York,NY,USA,10012-2612,+1 (212) 221-3546,+1 (212) 221-4679,michelleb@aol.com,3
19,Tim,Goyer,Apple Inc.,"Av. Brigadeiro Faria Lima, 2188",Cupertino,CA,USA,95014,+1 (408) 996-1010,+1 (408) 996-1011,tgoyer@apple.com,3
20,Dan,Miller,,"Av. Brigadeiro Faria Lima, 2189",Mountain View,CA,USA,94040-111,+1 (650) 644-3358,,dmiller@comcast.com,4
21,Kathy,Chase,,"Av. Brigadeiro Faria Lima, 2190",Reno,NV,USA,89503,+1 (775) 223-7665,,kachase@hotmail.com,5
22,Heather,Leacock,,"Av. Brigadeiro Faria Lima, 2191",Orlando,FL,USA,32801,+1 (407) 999-7788,,hleacock@gmail.com,4
23,John,Gordon,,"Av. Brigadeiro Faria Lima, 2192",Boston,MA,USA,2113,+1 (617) 522-1333,,johngordon22@yahoo.com,4
24,Frank,Ralston,,"Av. Brigadeiro Faria Lima, 2193",Chicago,IL,USA,60611,+1 (312) 332-3232,,fralston@gmail.com,3
25,Victor,Stevens,,"Av. Brigadeiro Faria Lima, 2194",Madison,WI,USA,53703,+1 (608) 257-0597,,vstevens@yahoo.com,5
26,Richard,Cunningham,,"Av. Brigadeiro Faria Lima, 2195",Fort Worth,TX,USA,76110,+1 (817) 924-7272,,ricunningham@hotmail.com,4
27,Patrick,Gray,,"Av. Brigadeiro Faria Lima, 2196",Tucson,AZ,USA,85719,+1 (520) 622-4200,,patrick.gray@aol.com,4
28,Julia,Barnett,,"Av. Brigadeiro Faria Lima, 2197",Salt Lake City,UT,USA,84102,+1 (801) 531-7272,,jubarnett@gmail.com,5
29,Robert,Brown,,"Av. Brigadeiro Faria Lima, 2198",Toronto,ON,Canada,M6J 1V1,+1 (416) 363-8888,,robbrown@shaw.ca,3
30,Edward,Francis,,"Av. Brigadeiro Faria Lima, 2199",Ottawa,ON,Canada,K2P 1L7,+1 (613) 234-3322,,edfrancis@yachoo.ca,3
31,Martha,Silk,,"Av. Brigadeiro Faria Lima, 2200",Halifax,NS,Canada,B3S 1C5,+1 (902) 450-0450,,marthasilk@gmail.com,5
32,Aaron,Mitchell,,"Av. Brigadeiro Faria Lima, 2201",Winnipeg,MB,Canada,R3L 2B9,+1 (204) 452-6452,,aaronmitchell@yahoo.ca,4
33,Ellie,Sullivan,,"Av. Brigadeiro Faria Lima, 2202",Yellowknife,NT,Canada,X1A 1N6,+1 (867) 920-2233,,ellie.sullivan@shaw.ca,3
34,Jo   ,Fernandes,,"Av. Brigadeiro Faria Lima, 2203",Lisbon,,Portugal,,+351 (213) 466-111,,jfernandes@yahoo.pt,4
35,Madalena,Sampaio,,"Av. Brigadeiro Faria Lima, 2204",Porto,,Portugal,,+351 (225) 022-448,,masampaio@sapo.pt,4
36,Hannah,Schneider,,"Av. Brigadeiro Faria Lima, 2205",Berlin,,Germany,10789,+49 030 26550280,,hannah.schneider@yahoo.de,5
37,Fynn,Zimmermann,,"Av. Brigadeiro Faria Lima, 2206",Frankfurt,,Germany,60316,+49 069 40598889,,fzimmermann@yahoo.de,3
38,Niklas,Schrder,,"Av. Brigadeiro Faria Lima, 2207",Berlin,,Germany,10779,+49 030 2141444,,nschroder@surfeu.de,3
39,Camille,Bernard,,"Av. Brigadeiro Faria Lima, 2208",Paris,,France,75009,+33 01 49 70 65 65,,camille.bernard@yahoo.fr,4
40,Dominique,Lefebvre,,"Av. Brigadeiro Faria Lima, 2209",Paris,,France,75002,+33 01 47 42 71 71,,dominiquelefebvre@gmail.com,4
41,Marc,Dubois,,"Av. Brigadeiro Faria Lima, 2210",Lyon,,France,69002,+33 04 78 30 30 30,,marc.dubois@hotmail.com,5
42,Wyatt,Girard,,"Av. Brigadeiro Faria Lima, 2211",Bordeaux,,France,33000,+33 05 56 96 96 96,,wyatt.girard@yahoo.fr,3
43,Isabelle,Mercier,,"Av. Brigadeiro Faria Lima, 2212",Dijon,,France,21000,+33 03 80 73 66 99,,isabelle_mercier@apple.fr,3
44,Terhi,Hoinen,,"Av. Brigadeiro Faria Lima, 2213",Helsinki,,Finland,530,+358 09 870 2000,,terhi.hamalainen@apple.fi,3
45,Ladislav,Kovcs,,"Av. Brigadeiro Faria Lima, 2214",Budapest,,Hungary,H-1073,,,ladislav_kovacs@apple.hu,3
46,Hugh,O'Reilly,,"Av. Brigadeiro Faria Lima, 2215",Dublin,Dublin,Ireland,,+353 01 6792424,,hughoreilly@apple.ie,3
47,Lucas,Mancini,,"Av. Brigadeiro Faria Lima, 2216",Rome,RM,Italy,192,+39 06 39733434,,lucas.mancini@yahoo.it,5
48,Johannes,Van der Berg,,"Av. Brigadeiro Faria Lima, 2217",Amsterdam,VV,Netherlands,1016,+31 020 6223130,,johavanderberg@yahoo.nl,5
49,Staniscaw,Wjcik,,"Av. Brigadeiro Faria Lima, 2218",Warsaw,,Poland,00-358,+48 22 828 37 39,,staniscaw.wc@wp.pl,4
50,Enrique,Muoz,,"Av. Brigadeiro Faria Lima, 2219",Madrid,,Spain,28015,+34 914 454 454,,enrique_munoz@yahoo.es,5
51,Joakim,Johansson,,"Av. Brigadeiro Faria Lima, 2220",Stockholm,,Sweden,11230,+46 08-651 52 52,,joakim.johansson@yahoo.se,5
52,Emma,Jones,,"Av. Brigadeiro Faria Lima, 2221",London,,United Kingdom,N1 5LH,+44 020 7707 0707,,emma_jones@hotmail.com,3
53,Phil,Hughes,,"Av. Brigadeiro Faria Lima, 2222",London,,United Kingdom,SW1V 3EN,+44 020 7976 5722,,phil.hughes@gmail.com,3
54,Steve,Murray,,"Av. Brigadeiro Faria Lima, 2223",Edinburgh ,,United Kingdom,EH4 1HH,+44 0131 315 3300,,steve.murray@yahoo.uk,5
55,Mark,Taylor,,"Av. Brigadeiro Faria Lima, 2224",Sidney,NSW,Australia,2010,+61 (02) 9332 3633,,mark.taylor@yahoo.au,4
56,Diego,Gutirrez,,"Av. Brigadeiro Faria Lima, 2225",Buenos Aires,,Argentina,1106,+54 (0)11 4311 4333,,diego.gutierrez@yahoo.ar,4
57,Luis,Rojas,,"Av. Brigadeiro Faria Lima, 2226",Santiago,,Chile,,+56 (0)2 635 4444,,luisrojas@yahoo.cl,5
58,Manoj,Pareek,,"Av. Brigadeiro Faria Lima, 2227",Delhi,,India,110017,+91 0124 39883988,,manoj.pareek@rediff.com,3
59,Rishabh,Mishra,,"Av. Brigadeiro Faria Lima, 2228",Bangalore,,India,560001,+91 080 22289999,,rishabh_mishra@yahoo.in,3
